Provider CCN;Hospital Name;Fiscal Year Begin Date;Fiscal Year End Date;number_of_beds
10058;BIBB MEDICAL CENTER;10/01/2020;9/30/2021;156
10059;LAWRENCE MEDICAL CENTER;10/01/2020;9/30/2021;43
10061;HIGHLANDS MEDICAL CENTER;10/01/2020;9/30/2021;95
10062;WIREGRASS MEDICAL CENTER;10/01/2020;9/30/2021;145
10065;RUSSELL MEDICAL CENTER;01/01/2021;12/31/2021;45
10069;MEDICAL CENTER BARBOUR;01/01/2021;12/31/2021;47
10073;CLAY COUNTY HOSPITAL;10/01/2020;9/30/2021;139
10078;NORTHEAST ALABAMA REGIONAL MED CTR;10/01/2020;9/30/2021;287
10079;ATHENS LIMESTONE;07/01/2021;6/30/2022;66
10083;SOUTH BALDWIN REGIONAL MEDICAL CENTE;10/01/2020;9/30/2021;112
10085;DECATUR MORGAN - DECATUR CAMPUS;04/01/2021;3/31/2022;352
10086;NORTHWEST MEDICAL CENTER;01/01/2021;12/31/2021;38
10087;USA HEALTH UNIVERSITY HOSPITAL;10/01/2020;9/30/2021;201
10089;WALKER BAPTIST MEDICAL CENTER;01/01/2021;12/31/2021;259
10090;PROVIDENCE HOSPITAL;07/01/2021;6/30/2022;349
10091;GROVE HILL MEMORIAL HOSPITAL;07/01/2021;6/30/2022;30
10092;DCH REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;606
10095;HALE COUNTY HOSPITAL;10/01/2020;9/30/2021;39
10097;ELMORE COMMUNITY HOSPITAL;01/01/2021;12/31/2021;33
10099;D W MCMILLAN MEMORIAL HOSPITAL;10/01/2020;9/30/2021;46
10100;THOMAS HOSPITAL;04/01/2021;3/31/2022;141
10101;CITIZENS BAPTIST MEDICAL CENTER;01/01/2021;12/31/2021;103
10102;JOHN PAUL JONES HOSPITAL;10/01/2020;9/30/2021;21
10103;PRINCETON BAPTIST MEDICAL CENTER;01/01/2021;12/31/2021;303
10104;GRANDVIEW MEDICAL CENTER;07/01/2021;6/30/2022;434
10108;PRATTVILLE BAPTIST HOSPITAL;07/01/2021;6/30/2022;77
10110;BULLOCK COUNTY HOSPITAL;01/01/2021;12/31/2021;54
10112;WHITFIELD MEMORIAL HOSPITAL;10/01/2020;9/30/2021;64
10113;MOBILE INFIRMARY MEDICAL CENTER;04/01/2021;3/31/2022;654
10114;UAB MEDICAL WEST;10/01/2020;9/30/2021;248
10118;VAUGHAN REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;109
10120;MONROE COUNTY HOSPITAL;10/01/2020;9/30/2021;46
10125;LAKELAND COMMUNITY HOSPITAL;01/01/2021;12/31/2021;58
10126;TROY REGIONAL MEDICAL CENTER;04/01/2021;3/31/2022;59
10128;JACKSON MEDICAL CENTER;01/01/2021;12/31/2021;35
10129;NORTH BALDWIN INFIRMARY;04/01/2021;3/31/2022;48
10130;ST. VINCENTS ST. CLAIR;07/01/2021;6/30/2022;40
10131;CRESTWOOD MEDICAL CENTER;07/01/2021;6/30/2022;174
10138;HILL HOSPITAL OF SUMTER COUNTY;01/01/2021;12/31/2021;33
10139;BROOKWOOD BAPTIST MEDICAL CENTER;01/01/2021;12/31/2021;595
10144;SPRINGHILL MEMORIAL HOSPITAL;01/01/2021;12/31/2021;200
10148;EVERGREEN MEDICAL CENTER;01/01/2021;12/31/2021;44
10149;BAPTIST MEDICAL CENTER EAST;07/01/2021;6/30/2022;184
10150;REGIONAL MEDICAL CTR OF CENTRAL AL;10/01/2020;9/30/2021;57
10157;SHOALS HOSPITAL;04/01/2021;3/31/2022;184
10158;RUSSELLVILLE HOSPITAL;01/01/2021;12/31/2021;49
10164;COOSA VALLEY MEDICAL CENTER;08/01/2021;7/31/2022;142
10168;JACK HUGHSTON MEMORIAL HOSPITAL;01/01/2021;12/31/2021;47
10169;ATMORE COMMUNITY HOSPITAL;10/01/2020;9/30/2021;49
10173;ST. VINCENTS CHILTON;07/01/2021;6/30/2022;26
10174;THOMASVILLE REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;29
10175;EAMC-LANIER;10/01/2020;9/30/2021;31
11300;WASHINGTON COUNTY HOSPITAL;10/01/2020;9/30/2021;103
11302;RED BAY HOSPITAL;10/01/2020;9/30/2021;25
11304;CHOCTAW GENERAL HOSPITAL;01/01/2021;12/31/2021;25
11305;ST. VINCENTS BLOUNT;07/01/2021;6/30/2022;25
11306;TANNER MEDICAL CENTER ALABAMA  INC.;07/01/2021;6/30/2022;15
12006;INFIRMARY LTAC HOSPITAL;04/01/2021;3/31/2022;31
12007;NOLAND HOSPITAL MONTGOMERY II;09/01/2021;7/31/2022;65
12008;SSH - BIRMINGHAM;09/01/2021;8/31/2022;38
12009;NOLAND HOSPITAL BIRMINGHAM II;09/01/2021;8/31/2022;79
12010;NOLAND HOSPITAL DOTHAN II;09/01/2021;8/31/2022;38
12011;NOLAND HOSPITAL ANNISTON II;09/01/2021;8/31/2022;38
12012;NOLAND HOSPITAL TUSCALOOSA II;09/01/2021;8/31/2022;32
12014;NORTH ALABAMA SPECIALTY HOSPITAL;05/01/2021;4/30/2022;31
13025;ENCOMPASS HEALTH LAKESHORE REHABILIT;01/01/2021;12/31/2021;100
13028;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;80
13029;ENCOMPASS HEALTH REHABILITATION HOSP;06/01/2021;5/31/2022;85
13030;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;51
13031;ENCOMPASS HEALTH REHABILITATION HOSP;07/01/2021;6/30/2022;34
13032;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;46
13033;REGIONAL REHABILITATION HOSPITAL;06/01/2021;5/31/2022;58
13300;THE CHILDRENS HOSPITAL OF ALABAMA;01/01/2021;12/31/2021;351
13301;USA CHILDRENS AND WOMENS HOSPITAL;10/01/2020;9/30/2021;247
14000;HILL CREST BEHAVIORAL HEALTH;07/01/2021;6/30/2022;
14006;MOUNTAIN VIEW HOSPITAL;01/01/2021;12/31/2021;
14007;BRYCE HOSPITAL;07/01/2021;6/30/2022;98
14012;MARY S HARPER GERIATRIC PSYCH CEN;10/01/2020;9/30/2021;126
14013;LAUREL OAKS BEHAVIORAL HEALTH CENTER;07/01/2021;6/30/2022;
14014;BAYPOINTE BEHAVIORAL HEALTH;10/01/2020;9/30/2021;
14015;BEACON CHILDRENS HOSPITAL;01/01/2021;12/31/2021;
14016;USA HEALTHCARE PSYCH SERVICES LLC;07/01/2021;6/30/2022;40
14017;EASTPOINTE HOSPITAL;10/01/2020;9/30/2021;66
14018;BEHAVIORAL HEALTH CENTERS;01/01/2021;12/31/2021;20
20001;PROVIDENCE ALASKA MEDICAL CENTER;01/01/2021;12/31/2021;401
20006;MAT-SU REGIONAL MED CTR;01/01/2021;12/31/2021;125
20008;BARTLETT REGIONAL HOSPITAL;07/01/2021;6/30/2022;57
20012;FAIRBANKS MEMORIAL;01/01/2021;12/31/2021;212
20017;ALASKA REGIONAL HOSPITAL;01/01/2021;12/31/2021;176
20018;YK DELTA REGIONAL HOSPITAL;10/01/2020;9/30/2021;34
20024;CENTRAL PENINSULA GENERAL HOSPITAL;07/01/2021;6/30/2022;109
20026;ALASKA NATIVE MEDICAL CENTER;10/01/2020;9/30/2021;174
21301;PROVIDENCE VALDEZ MEDICAL CENTER;01/01/2021;12/31/2021;21
21302;PROVIDENCE SEWARD MEDICAL & CARE CEN;01/01/2021;12/31/2021;46
21304;PETERSBURG MEDICAL CENTER;07/01/2021;6/30/2022;27
21305;WRANGELL MEDICAL CENTER;10/01/2020;9/30/2021;22
21306;PROV. KODIAK ISLAND MEDICAL CENTER;01/01/2021;12/31/2021;46
21307;CORDOVA COMMUNITY MEDICAL CENTER;01/01/2021;12/31/2021;23
21308;NORTON SOUND REGIONAL HOSPITAL;10/01/2020;9/30/2021;36
21309;KANAKANAK HOSPITAL;10/01/2020;9/30/2021;16
21310;MANIILAQ HEALTH CENTER;10/01/2020;9/30/2021;17
21311;KETCHIKAN MEDICAL CENTER;07/01/2021;6/30/2022;54
21312;SAMUEL SIMMONDS MEMORIAL HOSPITAL;10/01/2020;9/30/2021;10
21313;SOUTH PENINSULA HOSPITAL;07/01/2021;6/30/2022;49
21314;MT EDGECUMBE HOSPITAL;10/01/2020;9/30/2021;25
22001;ALASKA SPECIALTY HOSPITAL  LLC;01/01/2021;12/31/2021;56
24001;NORTH STAR HOSPITAL T18;01/01/2021;12/31/2021;140
24002;ALASKA PSYCHIATRIC INSTITUTE;07/01/2021;6/30/2022;80
30002;BANNER UNIVERSITY MEDICAL CENTER PHX;01/01/2021;12/31/2021;662
30006;TUCSON MEDICAL CENTER;01/01/2021;12/31/2021;531
30007;VERDE VALLEY MEDICAL CENTER;07/01/2021;6/30/2022;87
30010;CARONDELET ST. MARYS HOSPITAL;10/01/2020;9/30/2021;360
30011;CARONDELET ST. JOSEPH HOSPITAL;10/01/2020;9/30/2021;486
30012;YAVAPAI REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;213
30013;YUMA REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;406
30014;HONORHEALTH JOHN C. LINCOLN MED CTR;01/01/2021;12/31/2021;258
30016;BANNER CASA GRANDE MEDICAL CENTER;01/01/2021;12/31/2021;141
30022;VALLEYWISE HEALTH MEDICAL CENTER;07/01/2021;6/30/2022;738
30023;FLAGSTAFF MEDICAL CENTER;07/01/2021;6/30/2022;268
30024;ST. JOSEPHS HOSPITAL & MEDICAL CTR;07/01/2021;6/30/2022;553
30030;ABRAZO CENTRAL CAMPUS;04/01/2021;3/31/2022;177
30036;CHANDLER REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;379
30037;TEMPE ST. LUKES HOSPITAL;06/01/2021;5/31/2022;64
30038;HONORHEALTH SCOTTSDALE OSBORN MED CT;01/01/2021;12/31/2021;351
30043;CANYON VISTA MEDICAL CENTER;05/01/2021;4/30/2022;93
30055;KINGMAN REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;226
30061;BANNER BOSWELL MEDICAL CENTER;01/01/2021;12/31/2021;501
30062;SUMMIT HEALTHCARE;01/01/2021;12/31/2021;101
30064;BANNER UNIVERSITY MED CENTER TUCSON;01/01/2021;12/31/2021;505
30065;BANNER DESERT MEDICAL CENTER;01/01/2021;12/31/2021;629
30068;MT. GRAHAM REGIONAL MEDICAL CENTER;01/01/2021;9/27/2021;25
30069;HAVASU REGIONAL MEDICAL CENTER;09/01/2021;8/31/2022;163
30071;FORT DEFIANCE INDIAN HOSPITAL;10/01/2020;9/30/2021;56
30073;TUBA CITY REG HEALTH CARE CORP;10/01/2020;9/30/2021;73
30074;SELLS HOSPITAL;10/01/2020;9/30/2021;14
30077;SAN CARLOS APACHE HEALTHCARE CORP;10/01/2020;9/30/2021;12
30078;PHOENIX INDIAN MEDICAL CENTER;10/01/2020;9/30/2021;133
30083;ABRAZO SCOTTSDALE CAMPUS;10/01/2020;9/30/2021;128
30084;CHINLE COMPREHENSIVE CARE FACILITY;10/01/2020;9/30/2021;60
30085;NORTHWEST MEDICAL CENTER;10/01/2020;9/30/2021;271
30087;HONORHEALTH SCOTTSDALE SHEA MED CTR;01/01/2021;12/31/2021;427
30088;BANNER BAYWOOD MEDICAL CENTER;01/01/2021;12/31/2021;340
30089;BANNER THUNDERBIRD MEDICAL CENTER;01/01/2021;12/31/2021;595
30092;HONORHEALTH DEER VALLEY MED CTR;01/01/2021;12/31/2021;204
30093;BANNER DEL E WEBB MEDICAL CENTER;01/01/2021;12/31/2021;391
30094;ABRAZO ARROWHEAD CAMPUS;04/01/2021;3/31/2022;270
30101;WESTERN ARIZONA REGIONAL MEDICAL CEN;09/01/2021;8/31/2022;99
30103;MAYO CLINIC HOSPITAL;01/01/2021;12/31/2021;306
30105;BANNER HEART HOSPITAL;01/01/2021;12/31/2021;108
30107;AZ SPINE & JOINT HOSPITAL;01/01/2021;12/31/2021;23
30108;THE CORE INSTITUTE SPECIALTY HOSPITA;01/01/2021;12/31/2021;28
30110;ABRAZO WEST CAMPUS;05/01/2021;4/30/2022;197
30111;BANNER UNIVERSITY MED CENTER SOUTH;01/01/2021;12/31/2021;162
30112;ARIZONA ORTHOPEDIC SURGICAL HOSPITAL;01/01/2021;12/31/2021;24
30113;USPHS HOSPITAL-WHITERIVER;10/01/2020;9/30/2021;40
30114;NORTHWEST MEDICAL CENTER ORO VALLEY;10/01/2020;9/30/2021;146
30115;BANNER ESTRELLA MEDICAL CENTER;01/01/2021;12/31/2021;317
30117;VALLEY VIEW MEDICAL CENTER;12/01/2020;11/30/2021;84
30119;MERCY GILBERT MEDICAL CENTER;07/01/2021;6/30/2022;197
30121;MOUNTAIN VISTA MEDICAL CENTER;07/01/2021;6/30/2022;182
30122;BANNER GATEWAY MEDICAL CENTER;01/01/2021;12/31/2021;185
30123;HONORHEALTH SCOTTSDALE THOMPSON PEAK;01/01/2021;12/31/2021;120
30130;BANNER IRONWOOD MEDICAL CENTER;01/01/2021;12/31/2021;89
30131;OASIS HOSPITAL;01/01/2021;12/31/2021;64
30134;BANNER GOLDFIELD MEDICAL CENTER;01/01/2021;12/31/2021;20
30136;ARIZONA GENERAL HOSPITAL;01/01/2021;12/31/2021;16
30137;SANTA CRUZ VALLEY REGIONAL HOSPITAL;01/01/2021;12/31/2021;49
30138;WESTERN REGIONAL MEDICAL CENTER;07/01/2021;9/30/2022;38
30139;ARIZONA GENERAL HOSPITAL;01/01/2021;12/31/2021;50
30146;HONORHEALTH SONORAN CROSSING MED CTR;10/29/2020;12/31/2020;70
30146;HONORHEALTH SONORAN CROSSING MED CTR;01/01/2021;12/31/2021;70
30147;BANNER OCOTILLO MEDICAL CENTER;11/17/2020;12/31/2020;94
30147;BANNER OCOTILLO MEDICAL CENTER;01/01/2021;12/31/2021;94
30148;NORTHWEST MEDICAL CENTER SAHUARITA;01/08/2021;9/30/2021;18
31300;WICKENBURG COMMUNITY HOSPITAL;01/01/2021;12/31/2021;19
31301;BENSON HOSPITAL;01/01/2021;12/31/2021;22
31302;NORTHERN COCHISE COMMUNITY HOSPITAL;07/01/2021;12/31/2021;24
31304;PAGE HOSPITAL;01/01/2021;12/31/2021;25
31305;HOPI HEALTH CENTER;10/01/2020;9/30/2021;6
31307;PARKER INDIAN HEALTH CENTER;10/01/2020;9/30/2021;20
31308;HU HU KAM MEMORIAL HOSPITAL;10/01/2020;9/30/2021;62
31309;SAGE MEMORIAL HOSPITAL;10/01/2020;9/30/2021;25
31311;WINSLOW MEMORIAL HOSPITAL;10/01/2020;9/30/2021;25
31312;COPPER QUEEN COMM. HOSP.;07/01/2021;6/30/2022;14
31313;CARONDELET HOLY CROSS HOSPITAL;10/01/2020;9/30/2021;25
31314;COBRE VALLEY REG. MEDICAL CENTER;01/01/2021;12/31/2021;25
31315;WHITE MOUNTAIN REGIONAL HOSPITAL;01/01/2021;12/31/2021;21
31317;LA PAZ REGIONAL HOSPITAL;10/01/2020;9/30/2021;25
31318;BANNER PAYSON MEDICAL CENTER;01/01/2021;12/31/2021;25
31319;MT. GRAHAM REGIONAL MEDICAL CENTER;9/28/2021;12/31/2021;25
32000;CURAHEALTH PHOENIX NORTHWEST;09/01/2021;8/31/2022;58
32001;SSH - PHOENIX;12/01/2020;11/30/2021;48
32002;SSH - TUCSON;09/01/2021;8/31/2022;30
32004;CORNERSTONE HOSP OF SE ARIZONA;09/01/2021;8/31/2022;34
32005;SSH - ARIZONA  INC.;06/01/2021;5/31/2022;32
32006;KPC PROMISE HOSPITAL OF PHOENIX;09/01/2021;8/31/2022;48
33025;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;60
33028;ENCOMPASS HEALTH REHABILITATION INST;01/01/2021;12/31/2021;80
33029;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;60
33032;ENCOMPASS HEALTH VALLEY OF THE SUN R;06/01/2021;5/31/2022;75
33034;YUMA REHABILITATION HOSPITAL  AN AFF;01/01/2021;12/31/2021;51
33036;MOUNTAIN VALLEY REGIONAL REHABILITAT;06/01/2021;5/31/2022;44
33037;ENCOMPASS HEALTH REHABILITATION HOSP;06/01/2021;5/31/2022;70
33038;SCOTTSDALE HRH;01/01/2021;12/31/2021;50
33039;COBALT REHAB HOSPITAL SURPRISE;01/01/2021;12/31/2021;40
33040;DIGNITY HEALTH EAST VALLEY REHAB HOS;01/01/2021;12/31/2021;50
33041;REHABILITATION HOSPITAL OF NORTHERN;06/01/2021;5/31/2022;40
33042;BHSM REHABILITATION;08/01/2021;7/31/2022;168
33302;PHOENIX CHILDRENS HOSPITAL;01/01/2021;12/31/2021;324
34004;BANNER BEHAVIORAL HEALTH HOSPITAL;01/01/2021;12/31/2021;156
34013;ST. LUKES BEHAVIORAL HEALTH CENTER;06/01/2021;5/31/2022;127
34020;HAVEN BEHAVIORAL HOSIPITAL OF PHOENI;07/01/2021;6/30/2022;57
34021;ARIZONA STATE HOSPITAL;07/01/2021;6/30/2022;302
34022;ACADIA SONORA BEHAVIORAL HOSPITAL;01/01/2021;12/31/2021;140
34023;THE GUIDANCE CENTER  INC.;10/01/2020;9/30/2021;16
34024;AURORA BHS OF ARIZONA;01/01/2021;12/31/2021;100
34025;WINDHAVEN PSYCHIATRIC HOSPITAL;07/01/2021;6/30/2022;16
34026;UBH OF PHOENIX  LLC DBA VALLEY HSP;01/01/2021;12/31/2021;122
34028;AURORA BEHAVIORAL  HEALTHCARE-TEMPE;01/01/2021;12/31/2021;138
34029;OASIS BEHAVIORAL HEALTH;01/01/2021;12/31/2021;158
34030;PALO VERDE BEHAVIORAL HEALTH;09/01/2021;8/31/2022;84
34031;QUAIL RUN BEHAVIORAL HEALTH;06/01/2021;5/31/2022;116
34032;COPPER SPRINGS;01/01/2021;12/31/2021;144
34033;CORNERSTONE BEHAVIORAL HEALTH EL DOR;09/01/2021;8/31/2022;54
34034;DESTINY SPRINGS HEALTHCARE;01/01/2021;12/31/2021;90
34035;AVENIR BEHAVIORAL HEALTH CENTER;01/01/2021;12/31/2021;32
34036;MBH OF NORTHERN ARIZONA;01/01/2021;12/31/2021;24
34037;TALAS HARBOR AT BULLHEAD CITY;07/01/2021;6/30/2022;24
34038;PHOENIX MEDICAL PSYCHIATRIC HOSPITAL;12/02/2020;12/31/2021;96
40001;SILOAM SPRINGS MEMORIAL HOSPITAL;04/01/2021;3/31/2022;64
40002;JOHNSON REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;90
40004;WASHINGTON REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;389
40007;ST VINCENT INFIRMARY MEDICAL CENTER;07/01/2021;6/30/2022;419
40010;MERCY MEDICAL CENTER;07/01/2021;6/30/2022;270
40011;CHAMBERS MEMORIAL HOSPITAL;07/01/2021;6/30/2022;42
40014;WHITE COUNTY MEDICAL CENTER;10/01/2020;9/30/2021;283
40015;MENA MEDICAL CENTER;01/01/2021;12/31/2021;65
40016;UAMS MEDICAL CENTER;07/01/2021;6/30/2022;521
40017;NORTH ARKANSAS REGIONAL MEDICAL CTR;04/01/2021;3/31/2022;138
40018;BAPTIST HEALTH MEDICAL CENTER - VB;01/01/2021;12/31/2021;74
40019;FORREST CITY MEDICAL CENTER;10/01/2020;9/30/2021;62
40020;ST BERNARDS MEDICAL CENTER;10/01/2020;9/30/2021;418
40022;NORTHWEST MEDICAL CENTER;11/01/2020;10/31/2021;308
40026;ST. VINCENT HOT SPRINGS;07/01/2021;6/30/2022;229
40027;BAXTER REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;223
40029;CONWAY REGIONAL MEDICAL CENTER  INC;01/01/2021;12/31/2021;150
40036;BAPTIST HEALTH MEDICAL CENTER- NLR;01/01/2021;12/31/2021;224
40039;ARKANSAS METHODIST MEDICAL CENTER;07/01/2021;6/30/2022;129
40041;ST. MARYS REGIONAL MEDICAL CENTER;09/01/2021;8/31/2022;157
40047;FIVE RIVERS MEDICAL CENTER;10/01/2020;9/30/2021;50
40050;OUACHITA COUNTY MEDICAL CENTER;10/01/2020;9/30/2021;93
40051;DREW MEMORIAL HOSPITAL INC;04/01/2021;3/31/2022;60
40055;BAPTIST HEALTH MEDICAL CENTER - FS;01/01/2021;12/31/2021;321
40062;MERCY HOSPITAL FORT SMITH;07/01/2021;6/30/2022;268
40067;MAGNOLIA REGIONAL HEALTH SYSTEM  INC;10/01/2020;9/30/2021;29
40069;GREAT RIVER MEDICAL CENTER;01/01/2021;12/31/2021;28
40071;JEFFERSON REGIONAL MEDICAL CENTER;07/01/2021;6/30/2022;290
40072;BHMC- STUTTGART;01/01/2021;12/31/2021;49
40076;BAPTIST HEALTH MEDICAL CENTER - HSC;01/01/2021;12/31/2021;69
40078;NATIONAL PARK MEDICAL CENTER;09/01/2021;8/31/2022;163
40084;SALINE MEMORIAL HOSPITAL;07/01/2021;6/30/2022;161
40085;HELENA REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;127
40088;MEDICAL CENTER OF ARKANSAS;07/01/2021;6/30/2022;121
40114;BAPTIST HEALTH MEDICAL CENTER - LR;01/01/2021;12/31/2021;809
40118;NEA BAPTIST MEMORIAL HOSPITAL;10/01/2020;9/30/2021;204
40119;WHITE RIVER MEDICAL CENTER;10/01/2020;9/30/2021;201
40132;LEO N LEVI MEMORIAL HOSPITAL;01/01/2021;12/31/2021;53
40134;ARKANSAS HEART HOSPITAL;10/01/2020;9/30/2021;112
40137;ST VINCENT NORTH;07/01/2021;6/30/2022;68
40147;ARKANSAS SURGICAL HOSPITAL;01/01/2021;12/31/2021;47
40153;WADLEY MEDICAL CENTER AT HOPE;10/01/2020;9/30/2021;48
40154;BHMC-CONWAY;01/01/2021;12/31/2021;111
40156;BMH-CRITTENDEN;10/01/2020;9/30/2021;11
40161;ENCORE MEDICAL CENTER;2/22/2021;9/30/2021;34
41300;MERCY HOSPITAL PARIS;07/01/2021;6/30/2022;16
41302;DARDANELLE HOSPITAL;07/01/2021;12/31/2021;35
41303;MERCY HOSPITAL OZARK;07/01/2021;6/30/2022;25
41304;EUREKA SPRINGS HOSPITAL;01/01/2021;12/31/2021;22
41305;MERCY HOSPITAL WALDRON;07/01/2021;6/30/2022;24
41306;COMM MEDICAL CENTER OF CALICO ROCK;07/01/2021;6/30/2022;25
41307;CROSSRIDGE COMMUNITY HOSPITAL;10/01/2020;9/30/2021;15
41308;MCGEHEE HOSPITAL;07/01/2021;6/30/2022;25
41309;LAWRENCE MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
41310;STONE COUNTY MEDICAL CENTER;10/01/2020;9/30/2021;25
41311;HOWARD MEMORIAL HOSPITAL;10/01/2020;9/30/2021;20
41312;BHMC-HEBER SPRINGS;01/01/2021;12/31/2021;25
41313;OZARK HEALTH  INC;07/01/2021;6/30/2022;143
41314;DEWITT HOSPITAL & NURSING HOME  INC;07/01/2021;6/30/2022;85
41316;SMC MEDICAL CENTER;01/01/2021;12/31/2021;25
41317;DALLAS COUNTY MEDICAL CENTER;01/01/2021;12/31/2021;22
41318;MERCY HOSPITAL BOONEVILLE;07/01/2021;6/30/2022;25
41320;LITTLE RIVER MEMORIAL;07/01/2021;6/30/2022;25
41321;BAPTIST HEALTH MED CTR ARKADELPHIA;01/01/2021;12/31/2021;25
41322;FULTON COUNTY HOSPITAL;07/01/2021;6/30/2022;25
41323;ASHLEY COUNTY MEDICAL CENTER;10/01/2020;9/30/2021;35
41324;ST. VINCENT MORRILTON;07/01/2021;6/30/2022;25
41326;DELTA MEMORIAL HOSPITAL;07/01/2021;6/30/2022;25
41327;BRADLEY COUNTY MEDICAL CENTER;10/01/2020;9/30/2021;33
41328;CHICOT MEMORIAL MEDICAL CENTER;04/01/2021;3/31/2022;25
41329;MERCY HOSPITAL BERRYVILLE;07/01/2021;6/30/2022;25
41330;PIGGOTT COMMUNITY HOSPITAL;01/01/2021;12/31/2021;25
41331;OZARKS COMMUNITY HOSPITAL OF GRAVETT;01/01/2021;12/31/2021;34
42004;CHRISTUS DUBUIS HOSPITAL OF HOT SPRI;09/01/2021;8/31/2022;27
42006;SSH - FORT SMITH;09/01/2021;8/31/2022;34
42008;CHRISTUS DUBUIS HOSPITAL OF FORT SMI;09/01/2021;8/31/2022;25
42009;RH OF NORTHWESTARKANSAS  LLC;06/01/2021;5/31/2022;25
42010;CORNERSTONE HOSPITAL OF LITTLE ROCK;09/01/2021;8/31/2022;40
42011;ADVANCED CARE HOSPITAL OF WHITE CO.;10/01/2020;9/30/2021;27
42012;BAPTIST HEALTH EXTENDED CARE;01/01/2021;12/31/2021;36
42013;CONTINUED CARE HOSPITAL JONESBORO;07/01/2021;6/30/2022;95
43026;BAPTIST HEALTH REHABILITATION INSTIT;01/01/2021;12/31/2021;120
43028;ENCOMPASS HEALTH REHABILITATION HOSP;06/01/2021;5/31/2022;65
43029;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;80
43031;CHI ST. VINCENT SHERWOOD REHABILITAT;01/01/2021;12/31/2021;80
43032;ENCOMPASS HEALTH REHABILITATION HOSP;01/01/2021;12/31/2021;80
43033;CONWAY REGIONAL REHABILITATION HOSPI;01/01/2021;12/31/2021;26
43034;SOUTHEAST REHAB LLC;11/01/2020;10/31/2021;10
43035;CHI ST. VINCENT HOT SPRINGS REHABILI;06/01/2021;5/31/2022;48
